season,round,constructorRef,constructorId,raceId,points_after_race,wins_after_race,position_after_race,positionText,constructorStandingsId,points,wins,position
1958,1,cooper,87,765,8.0,1,1,1,17759,0.0,0.0,0.0
1958,1,ferrari,6,765,6.0,0,2,2,17760,0.0,0.0,0.0
1958,1,maserati,105,765,3.0,0,3,3,17761,0.0,0.0,0.0
1958,2,cooper,87,766,16.0,2,1,1,17762,8.0,1.0,1.0
1958,2,ferrari,6,766,12.0,0,2,2,17763,6.0,0.0,2.0
1958,2,maserati,105,766,3.0,0,3,3,17764,3.0,0.0,3.0
1958,2,brm,66,766,2.0,0,4,4,17765,0.0,0.0,0.0
1958,2,team_lotus,32,766,0.0,0,5,5,17766,0.0,0.0,0.0
1958,2,vanwall,118,766,0.0,0,6,6,17767,0.0,0.0,0.0
1958,2,connaught,125,766,0.0,0,7,7,17768,0.0,0.0,0.0
1958,2,osca,127,766,0.0,0,8,8,17769,0.0,0.0,0.0
1958,3,cooper,87,767,19.0,2,1,1,17770,16.0,2.0,1.0
1958,3,ferrari,6,767,14.0,0,2,2,17771,12.0,0.0,2.0
1958,3,vanwall,118,767,8.0,1,3,3,17775,0.0,0.0,6.0
1958,3,brm,66,767,8.0,0,4,4,17773,2.0,0.0,4.0
1958,3,maserati,105,767,3.0,0,5,5,17772,3.0,0.0,3.0
1958,3,team_lotus,32,767,0.0,0,6,6,17774,0.0,0.0,5.0
1958,3,porsche,95,767,0.0,0,7,7,17778,0.0,0.0,0.0
1958,3,connaught,125,767,0.0,0,8,8,17776,0.0,0.0,7.0
1958,3,osca,127,767,0.0,0,9,9,17777,0.0,0.0,8.0
1958,4,cooper,87,768,19.0,2,1,1,17779,19.0,2.0,1.0
1958,4,ferrari,6,768,14.0,0,2,2,17780,14.0,0.0,2.0
1958,4,vanwall,118,768,8.0,1,3,3,17784,8.0,1.0,3.0
1958,4,brm,66,768,8.0,0,4,4,17782,8.0,0.0,4.0
1958,4,maserati,105,768,3.0,0,5,5,17781,3.0,0.0,5.0
1958,4,team_lotus,32,768,0.0,0,6,6,17783,0.0,0.0,6.0
